Category,Message
ham,"Hi, can we meet tomorrow morning?"
ham,"Please send me the project report when you are free."
ham,"Your meeting is scheduled at 3 PM today."
ham,"Thanks for your help with the document."
ham,"Can you review the presentation before class?"
spam,"Congratulations, you won a free iPhone. Click here now."
spam,"Win cash prize today, claim your reward immediately."
spam,"Limited offer, buy now and get free money."
spam,"Urgent, your account is selected for a bonus prize."
spam,"Click this link to receive your lottery reward."
